x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,value,Timestamp
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5816669689637272,163
0,2,3,0,3,2,0,0,0,3,0,3,1,2,1,0,0,3,2,1,2,2,1,2,-0.46477391904580434,181
3,3,2,3,3,0,3,0,2,3,2,1,1,0,3,3,0,2,1,0,2,3,0,1,-0.3276081896748093,199
1,2,3,0,1,3,1,2,1,1,1,3,3,3,2,0,0,3,3,3,1,0,0,3,-0.35854487413724373,219
0,3,2,3,3,1,0,3,1,0,2,3,1,0,0,0,3,0,3,2,2,1,3,3,-0.27841054380344177,236
0,2,3,1,0,0,3,2,2,2,1,0,0,0,2,3,2,3,0,0,2,2,0,0,-0.46477391904580434,250
2,3,1,0,1,1,1,2,2,2,1,2,1,3,1,2,2,1,0,0,0,0,3,2,-0.3458691510837426,267
3,3,0,0,2,3,1,3,2,2,0,0,2,0,3,3,3,3,1,0,2,0,2,3,-0.4842088145571889,284
2,2,2,0,2,3,2,1,1,2,0,1,0,3,0,1,2,0,1,0,3,0,3,2,-0.43383723458337003,300
0,1,0,1,3,3,3,3,1,0,2,3,1,0,1,0,1,3,1,1,0,1,1,0,-0.1643405029391659,315
1,3,1,0,0,2,2,3,2,0,2,2,0,3,3,3,1,0,2,2,3,3,0,0,-0.1643405029391659,332
2,0,3,0,0,1,1,3,3,1,0,2,2,0,1,1,1,0,2,2,1,0,0,1,-0.4579711102459002,348
0,2,0,0,1,3,2,2,1,1,3,3,2,0,3,0,2,1,0,2,2,0,3,0,-0.37680583554617686,364
0,1,3,0,3,1,1,1,1,2,2,2,0,2,3,0,0,0,0,2,1,1,0,1,-0.3276081896748093,380
0,0,1,0,0,1,3,2,0,3,1,1,3,3,0,3,2,2,2,1,2,0,3,2,-0.1904424603038143,396
2,3,3,1,1,2,3,3,0,0,1,0,2,2,3,3,0,2,2,3,2,3,3,1,-0.1904424603038143,414
1,2,2,2,0,2,2,3,1,3,0,3,0,2,2,0,0,2,0,3,3,3,1,1,-0.6474765012928321,433
2,3,3,3,1,0,1,3,1,3,1,2,0,2,3,0,0,3,3,1,3,0,1,0,-0.19724526910371842,451
2,1,1,2,2,0,2,0,3,3,0,1,1,0,1,0,2,3,0,0,0,3,2,2,-0.43383723458337,467
0,1,2,0,0,1,2,3,3,1,2,1,2,1,1,0,0,3,1,2,2,1,0,1,-0.3276081896748093,483
2,1,1,2,3,0,0,1,0,0,3,1,2,1,1,3,1,2,0,2,0,0,0,1,-0.19724526910371842,499
1,3,2,2,1,3,0,0,1,1,0,2,2,0,2,1,3,0,0,3,2,2,2,0,-0.3276081896748093,516
3,2,1,2,2,3,0,2,3,1,0,2,2,0,0,1,0,0,3,3,1,1,2,0,-0.4579711102459002,533
0,0,0,2,3,0,2,0,0,1,0,0,3,1,2,1,1,0,0,1,1,0,2,2,-0.12298385302351356,547
0,0,0,3,3,3,3,0,3,3,0,0,1,3,0,0,0,2,2,3,0,2,2,2,-0.19724526910371842,562
3,2,2,2,3,0,0,3,0,0,3,2,0,2,3,2,0,1,0,3,1,1,3,0,-0.37680583554617686,582
3,0,0,2,1,0,0,0,3,0,2,2,1,2,1,1,2,2,1,0,1,1,1,1,-0.19724526910371842,600
1,3,0,3,0,2,2,3,0,1,2,3,3,0,0,1,2,0,3,3,2,2,3,2,-0.4579711102459002,626
