x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,value,Timestamp
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-72.03990843871532,239
3,3,3,3,0,0,1,1,0,2,2,3,3,3,2,0,0,1,0,2,2,3,0,0,2,2,0,0,3,1,1,2,0,1,1,0,3,0,2,2,1,0,0,3,0,1,0,0,0,2,3,0,3,1,0,3,2,1,0,3,3,3,1,1,1,1,0,2,1,2,0,1,-47.731775052584105,290
0,2,3,2,1,1,3,1,3,0,0,3,3,2,3,3,0,1,0,2,2,0,2,0,0,2,3,0,0,1,3,2,3,1,3,3,3,1,3,1,0,2,1,1,3,1,1,1,3,3,2,1,3,0,0,1,0,2,0,1,3,3,0,3,3,1,1,3,0,0,2,1,-47.899935902384705,344
0,3,0,1,3,3,0,0,3,0,2,1,1,2,0,1,1,3,2,3,0,2,2,2,1,2,3,3,2,0,1,3,0,1,1,1,0,1,2,2,3,2,1,2,2,3,1,2,1,1,3,3,1,2,3,2,0,2,1,1,0,1,0,0,2,3,0,2,1,0,3,2,-47.27712154124253,403
3,0,0,3,3,1,2,1,3,1,3,2,2,2,1,1,3,1,1,3,3,1,2,3,2,0,0,3,0,3,0,2,3,3,1,3,3,2,3,2,0,1,0,3,2,0,2,0,3,3,3,0,3,2,3,3,2,1,0,0,0,1,3,2,1,1,1,2,2,3,2,0,-47.46525631865585,460
0,3,3,1,1,1,3,3,0,2,1,2,1,0,1,1,1,0,3,2,3,2,0,2,2,1,0,2,3,1,0,2,2,1,3,2,1,2,2,0,0,2,2,1,0,1,3,3,3,0,2,1,0,0,0,3,1,0,3,2,1,3,0,2,2,1,2,2,1,0,3,0,-45.22165810625971,517
3,1,2,1,1,1,3,1,2,1,0,2,3,3,3,1,1,0,0,0,0,3,2,0,0,2,3,2,0,2,1,0,2,1,1,1,2,1,0,2,1,3,1,3,3,1,2,3,2,1,2,1,1,2,0,2,2,2,2,2,3,2,0,1,2,0,1,1,0,1,1,3,-46.781268864324204,653
2,0,2,2,2,3,3,1,3,0,0,0,2,0,3,3,2,1,3,2,1,3,3,2,3,1,3,3,0,0,0,1,1,3,2,0,1,1,0,1,0,2,0,3,0,3,3,2,2,0,0,1,3,1,2,0,1,0,3,3,3,1,3,2,1,0,0,3,3,3,1,1,-46.71577436203539,708
3,2,3,0,0,3,0,0,0,1,2,3,1,3,3,2,2,3,3,3,0,3,3,0,2,1,1,0,3,1,1,2,3,2,1,2,3,0,3,3,3,3,2,2,2,2,1,1,2,2,1,3,1,0,1,1,0,0,0,1,2,1,0,3,0,2,3,3,3,3,0,1,-46.7946329556939,766
3,2,2,0,1,3,2,2,0,3,0,1,3,1,1,2,1,3,1,3,2,1,0,2,0,3,0,0,0,2,1,1,0,0,3,1,1,1,0,1,0,1,2,0,1,3,0,3,0,3,0,1,2,0,0,3,1,3,3,0,2,1,0,0,3,3,1,0,0,3,3,2,-46.9730886599857,824
